,Retention Time,Peak Area
0,16.64136254484,2.8708932232172337
1,31.822955515700855,4.979389797143581
2,33.39638945528135,21.856013839880962
3,33.744690020739846,18.73361017826599
4,34.457915679348034,4.874261212518843
5,37.01979337620612,73.23749365007944
6,37.48535017810023,46.53511953752126
7,38.030091261063006,15.102789773453303
8,38.80517276557031,3.474941529287458
9,40.548732695574,23.558485803818197
10,40.960264333315564,57.66878027294961
11,42.82747974469859,2.7512122090044455
12,49.018458949622136,4.553346801283671
13,50.462324836402225,0.00456679450440528
14,50.47063863261383,3.7925895144127115
15,52.09943580683366,32.38253408131637
16,52.63856710968215,10.506241349924244
17,54.157185439697265,4.753310997450722
18,54.537778250257446,20.51152134659688
19,55.226033,53.01044544074111
20,54.90361038075132,23.855147465424412
21,55.31259536603485,26.4052331354342
22,57.25695666929508,20.106313896222833
23,57.60274345032909,68.36822757088508
24,58.02414227103573,68.30546883124173
25,58.55256834327242,40.49119436869927
26,60.25263216021467,11.642983908348398
27,60.67563661117545,71.63061126382117
28,61.143862570259365,80.43067691604028
29,63.20593587823218,0.8414375895699275
30,63.802,35.90010666104471
31,64.22344498787552,56.39158513937962
32,66.6229818771306,6.915434122635121
33,67.20480682571153,13.931444762080499
